COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO
H020B,"Propietarios, familiares y otros trabajadores no remunerados, hombres: Son las personas que trabajaron bajo la dirección y control de la unidad económica, cubriendo como mínimo una tercera parte de la jornada laboral de la misma, sin recibir un sueldo o salario fijo de forma periódica. Incluye a los propietarios, familiares de éstos, socios activos, personal que labora para la unidad económica percibiendo exclusivamente propinas, prestadores de servicio social, becarios por el sistema nacional de empleo o en programas de capacitación y entrenamiento, trabajadores meritorios y los trabajadores voluntarios. Excluye a las personas que prestaron sus servicios profesionales o técnicos y cobraron honorarios por esto; pensionados, jubilados; y al personal suministrado por otra razón social.",Decimal,"15,3",0-999999999999999.999,
H020C,"Propietarios, familiares y otros trabajadores no remunerados, mujeres: Son las personas que trabajaron bajo la dirección y control de la unidad económica, cubriendo como mínimo una tercera parte de la jornada laboral de la misma, sin recibir un sueldo o salario fijo de forma periódica. Incluye a los propietarios, familiares de éstos, socios activos, personal que labora para la unidad económica percibiendo exclusivamente propinas, prestadores de servicio social, becarios por el sistema nacional de empleo o en programas de capacitación y entrenamiento, trabajadores meritorios y los trabajadores voluntarios. Excluye a las personas que prestaron sus servicios profesionales o técnicos y cobraron honorarios por esto; pensionados, jubilados; y al personal suministrado por otra razón social.",Decimal,"15,3",0-999999999999999.999,
H020D,"Horas trabajadas por propietarios, familiares y otros trabajadores no remunerados (miles de horas): Es el total de horas trabajadas en el año de referencia por los propietarios, familiares y otro personal no remunerado, comprende las horas normales y extraordinarias dedicadas a las actividades. Incluye tiempo de espera, preparación de labores, mantenimiento y limpieza. Excluye el tiempo de suspensión de labores por huelgas, paros, vacaciones, licencias temporales por incapacidad y fenómenos naturales.",Decimal,"15,3",0-999999999999999.999,
H101A,"Personal de producción, ventas y servicios total: Comprende a todas las personas que trabajaron durante el periodo de referencia dependiendo contractualmente de la unidad económica, sujetas a su dirección y control, a cambio de una remuneración fija y periódica por su participación en las actividades de producción, comercialización o prestación de servicios.",Decimal,"15,3",0-999999999999999.999,
H101B,"Personal de producción, ventas y servicios, hombres : Comprende a todas las personas que trabajaron durante el periodo de referencia dependiendo contractualmente de la unidad económica, sujetas a su dirección y control, a cambio de una remuneración fija y periódica por su participación en las actividades de producción, comercialización o prestación de servicios.",Decimal,"15,3",0-999999999999999.999,
H101C,"Personal de producción, ventas y servicios, mujeres: Comprende a todas las personas que trabajaron durante el periodo de referencia dependiendo contractualmente de la unidad económica, sujetas a su dirección y control, a cambio de una remuneración fija y periódica por su participación en las actividades de producción, comercialización o prestación de servicios.",Decimal,"15,3",0-999999999999999.999,
H101D,"Horas trabajadas por personal de producción, ventas y servicios (miles de horas): Es el total de horas trabajadas en el año de referencia por el personal de producción, ventas y servicios, comprende las horas normales y extraordinarias dedicadas a las actividades. Incluye tiempo de espera, preparación de labores, mantenimiento y limpieza. Excluye el tiempo de suspensión de labores por huelgas, paros, vacaciones, licencias temporales por incapacidad y fenómenos naturales.",Decimal,"15,3",0-999999999999999.999,
H203A,"Personal administrativo, contable y de dirección total : Comprende a todas las personas que trabajaron durante el periodo de referencia dependiendo contractualmente de la unidad económica, sujetas a su dirección y control, a cambio de una remuneración fija y periódica por desempeñar labores generales de oficina, así como de contabilidad, ejecutivas de planeación, organización, dirección y control para la propia unidad económica.",Decimal,"15,3",0-999999999999999.999,
H203B,"Personal administrativo, contable y de dirección, hombres: Comprende a todas las personas que trabajaron durante el periodo de referencia dependiendo contractualmente de la unidad económica, sujetas a su dirección y control, a cambio de una remuneración fija y periódica por desempeñar labores generales de oficina, así como de contabilidad, ejecutivas de planeación, organización, dirección y control para la propia unidad económica.",Decimal,"15,3",0-999999999999999.999,
H203C,"Personal administrativo, contable y de dirección, mujeres: Comprende a todas las personas que trabajaron durante el periodo de referencia dependiendo contractualmente de la unidad económica, sujetas a su dirección y control, a cambio de una remuneración fija y periódica por desempeñar labores generales de oficina, así como de contabilidad, ejecutivas de planeación, organización, dirección y control para la propia unidad económica.",Decimal,"15,3",0-999999999999999.999,
H203D,"Horas trabajadas por personal administrativo, contable y de dirección (miles de horas) : Es el total de horas trabajadas en el año de referencia por el personal administrativo, contable y de dirección, comprende las horas normales y extraordinarias dedicadas a las actividades. Incluye tiempo de espera, preparación de labores, mantenimiento y limpieza. Excluye el tiempo de suspensión de labores por huelgas, paros, vacaciones, licencias temporales por incapacidad y fenómenos naturales.",Decimal,"15,3",0-999999999999999.999,
I000A,"Personal no dependiente de la razón social total : Son todas las personas que trabajaron para la unidad económica durante el periodo de referencia, pero que dependían contractualmente de otra razón social o laboraron por cuenta propia para la unidad económica y realizaron labores ligadas con la prestación de servicios, producción, comercialización, administración y contabilidad, entre otras, cubriendo como mínimo una tercera parte de la jornada laboral de la unidad económica. Excluye al personal que trabajó en la unidad económica por la contratación de servicios de vigilancia, limpieza y jardinería.",Decimal,"15,3",0-999999999999999.999,
I000B,"Personal no dependiente de la razón social, hombres: Son todas las personas que trabajaron para la unidad económica durante el periodo de referencia, pero que dependían contractualmente de otra razón social o laboraron por cuenta propia para la unidad económica y realizaron labores ligadas con la prestación de servicios, producción, comercialización, administración y contabilidad, entre otras, cubriendo como mínimo una tercera parte de la jornada laboral de la unidad económica. Excluye al personal que trabajó en la unidad económica por la contratación de servicios de vigilancia, limpieza y jardinería.",Decimal,"15,3",0-999999999999999.999,
I000C,"Personal no dependiente de la razón social, mujeres: Son todas las personas que trabajaron para la unidad económica durante el periodo de referencia, pero que dependían contractualmente de otra razón social o laboraron por cuenta propia para la unidad económica y realizaron labores ligadas con la prestación de servicios, producción, comercialización, administración y contabilidad, entre otras, cubriendo como mínimo una tercera parte de la jornada laboral de la unidad económica. Excluye al personal que trabajó en la unidad económica por la contratación de servicios de vigilancia, limpieza y jardinería.",Decimal,"15,3",0-999999999999999.999,
I000D,"Horas trabajadas por personal no dependiente de la razón social (miles de horas): Son todas las personas que trabajaron para la unidad económica durante el periodo de referencia, pero que dependían contractualmente de otra razón social o laboraron por cuenta propia para la unidad económica y realizaron labores ligadas con la prestación de servicios, producción, comercialización, administración y contabilidad, entre otras, cubriendo como mínimo una tercera parte de la jornada laboral de la unidad económica. Excluye al personal que trabajó en la unidad económica por la contratación de servicios de vigilancia, limpieza y jardinería.",Decimal,"15,3",0-999999999999999.999,
I100A,"Personal suministrado por otra razón social total: Son las personas que trabajaron durante el año de referencia para la unidad económica, pero que dependían contractualmente de otra razón social. Excluye al personal que trabajó en el establecimiento por la contratación de servicios como vigilancia, limpieza y jardinería.",Decimal,"15,3",0-999999999999999.999,
I100B,"Personal suministrado por otra razón social, hombres: Son las personas que trabajaron durante el año de referencia para la unidad económica, pero que dependían contractualmente de otra razón social. Excluye al personal que trabajó en el establecimiento por la contratación de servicios como vigilancia, limpieza y jardinería.",Decimal,"15,3",0-999999999999999.999,
I100C,"Personal suministrado por otra razón social, mujeres: Son las personas que trabajaron durante el año de referencia para la unidad económica, pero que dependían contractualmente de otra razón social. Excluye al personal que trabajó en el establecimiento por la contratación de servicios como vigilancia, limpieza y jardinería.",Decimal,"15,3",0-999999999999999.999,
I100D,"Horas trabajadas por personal suministrado por otra razón social (miles de horas): Es el total de horas trabajadas en el año de referencia por el personal ocupado contratado y proporcionado por otra razón social, comprende las horas normales y extraordinarias dedicadas a las actividades. Incluye tiempo de espera, preparación de labores, mantenimiento y limpieza. Excluye el tiempo de suspensión de labores por huelgas, paros, vacaciones, licencias temporales por incapacidad y fenómenos naturales.",Decimal,"15,3",0-999999999999999.999,
I200A,"Personal por honorarios o comisiones sin sueldo base total: Son los trabajadores que laboraron por cuenta propia para la unidad económica y que cobraron exclusivamente con base en honorarios o comisiones. Excluye a las personas que recibieron como pago exclusivamente propinas, abogados, médicos, contadores y demás profesionistas que cobraron honorarios o igualas por la prestación de sus servicios profesionales, sin laborar de manera regular o exclusiva para la unidad económica.",Decimal,"15,3",0-999999999999999.999,
I200B,"Personal por honorarios o comisiones sin sueldo base, hombres: Son los trabajadores que laboraron por cuenta propia para la unidad económica y que cobraron exclusivamente con base en honorarios o comisiones. Excluye a las personas que recibieron como pago exclusivamente propinas, abogados, médicos, contadores y demás profesionistas que cobraron honorarios o igualas por la prestación de sus servicios profesionales, sin laborar de manera regular o exclusiva para la unidad económica.",Decimal,"15,3",0-999999999999999.999,
I200C,"Personal por honorarios o comisiones sin sueldo base, mujeres : Son los trabajadores que laboraron por cuenta propia para la unidad económica y que cobraron exclusivamente con base en honorarios o comisiones. Excluye a las personas que recibieron como pago exclusivamente propinas, abogados, médicos, contadores y demás profesionistas que cobraron honorarios o igualas por la prestación de sus servicios profesionales, sin laborar de manera regular o exclusiva para la unidad económica.",Decimal,"15,3",0-999999999999999.999,
I200D,"Horas trabajadas por personal por honorarios o comisiones sin sueldo base (miles de horas) : Es el total de horas trabajadas en el año de referencia por el personal ocupado por honorarios o comisiones sin sueldo base, comprende las horas normales y extraordinarias dedicadas a las actividades. Incluye tiempo de espera, preparación de labores, mantenimiento y limpieza. Excluye el tiempo de suspensión de labores por huelgas, paros, vacaciones, licencias temporales por incapacidad y fenómenos naturales.",Decimal,"15,3",0-999999999999999.999,
J000A,"Total de remuneraciones (millones de pesos): Son todos los pagos y aportaciones normales y extraordinarias, en dinero y especie, antes de cualquier deducción, para retribuir el trabajo del personal dependiente de la razón social, en forma de salarios y sueldos, prestaciones sociales y utilidades repartidas al personal, ya sea que este pago se calcule sobre la base de una jornada de trabajo o por la cantidad de trabajo desarrollado (destajo), o mediante un salario base que se complementa con comisiones por ventas u otras actividades. Incluye las contribuciones patronales a regímenes de seguridad social, el pago realizado al personal con licencia y permiso temporal. Excluye los pagos por liquidaciones o indemnizaciones, pagos a terceros por el suministro de personal ocupado; pagos exclusivamente de comisiones para aquel personal que no recibió un sueldo base; pagos de honorarios por servicios profesionales contratados de manera infrecuente.",Decimal,"15,3",0-999999999999999.999,
J010A,"Total de salarios al personal de producción, ventas y servicios (millones de pesos): Son los pagos que realizó la unidad económica para retribuir el trabajo ordinario y extraordinario del personal dependiente de la razón social, tanto de planta como eventual, antes de cualquier deducción retenida por los empleadores (impuesto sobre la renta o sobre el producto del trabajo), las aportaciones de los trabajadores a los regímenes de seguridad social (IMSS, INFONAVIT) y las cuotas sindicales. Incluye aguinaldos, comisiones sobre ventas que complementan el sueldo base, primas vacacionales, bonificaciones, incentivos y bonos de productividad y los pagos en especie otorgados. Excluye los gastos en pasajes y viáticos, alimentación, y en general, los gastos reembolsables al trabajador.",Decimal,"15,3",0-999999999999999.999,
J203A,"Total de sueldos al personal administrativo, contable y de dirección (millones de pesos): Son los pagos que realizó la unidad económica para retribuir el trabajo ordinario y extraordinario del personal dependiente de la razón social, antes de cualquier deducción retenida por los empleadores (impuesto sobre la renta o sobre el producto del trabajo), las aportaciones de los trabajadores a los regímenes de seguridad social (IMSS, ISSSTE, INFONAVIT) y las cuotas sindicales. Incluye aguinaldos; comisiones sobre ventas que complementan el sueldo base; primas vacacionales; bonificaciones; incentivos y bonos de productividad. Excluye los gastos en pasajes y viáticos, alimentación y, en general, los gastos reembolsables al trabajador; los pagos al personal que no depende de la unidad económica y que cobra exclusivamente a base de honorarios o comisiones; y los pagos que la unidad económica realiza a otra razón social por concepto de suministro de personal.",Decimal,"15,3",0-999999999999999.999,
J300A,Contribuciones patronales a regímenes de seguridad social (millones de pesos) : Son todas las aportaciones monetarias que la unidad económica cubrió con sus recursos a instituciones de seguridad social en beneficio de los trabajadores remunerados.,Decimal,"15,3",0-999999999999999.999,
J400A,"Otras prestaciones sociales (millones de pesos): Son los pagos que la unidad económica realizó a instituciones privadas en beneficio de sus trabajadores o que otorgó directamente en especie al personal remunerado, en complemento o adición a los sueldos y salarios, tales como servicios médicos privados, despensas, primas de seguros, servicios educativos, ayudas para estudio y guarderías. Excluye las contribuciones patronales a regímenes de seguridad social, compra de equipo, uniformes y ropa de trabajo; costos de capacitación; primas vacacionales; erogaciones para actividades deportivas y recreativas; gastos por concepto de pasajes, viáticos y alimentación; además de todos aquellos gastos reembolsables al trabajador.",Decimal,"15,3",0-999999999999999.999,
J500A,"Utilidades repartidas a los trabajadores (millones de pesos): Son los pagos en efectivo que la unidad económica distribuyó entre el personal, antes de cualquier deducción, por concepto de utilidades, conforme a la legislación laboral o las cláusulas de los contratos colectivos de trabajo o convenios entre patrones y trabajadores, cualquiera que sea el ejercicio al que correspondan.",Decimal,"15,3",0-999999999999999.999,
J600A,"Pagos por indemnización o liquidación del personal (millones de pesos): Se refiere a la compensación monetaria que se otorgó a los trabajadores por concepto de despido, retiro o terminación de contrato laboral con la unidad económica.",Decimal,"15,3",0-999999999999999.999,
K000A,"Total de gastos por consumo de bienes y servicios (millones de pesos) : Es el valor de todos los bienes y servicios consumidos por la unidad económica para realizar sus operaciones el periodo de referencia, independientemente del periodo en que hayan sido comprados o adquiridos, considerando el valor de los bienes y servicios que recibió de otros establecimientos de la misma empresa (con o sin costo) para su uso en las actividades de producción u operación de la unidad económica. Incluye el valor de los bienes y servicios que recibió en transferencia para su consumo o transformación y fueron efectivamente consumidos, en sus actividades productivas o relacionadas con las mismas. Excluye los gastos fiscales, financieros, donaciones y los gastos de las empresas o razones sociales controladas por esta empresa.",Decimal,"15,3",0-999999999999999.999,
K010A,"Mercancías y bienes comprados para la reventa (millones de pesos): Es el valor de las mercancías que compró la unidad económica para venderlas en las mismas condiciones en que las adquirió, así como los gastos realizados por el gas que comercializó con los usuarios. Incluye las mercancías para reventa que recibió de otros establecimientos de la misma empresa. Excluye las mercancías recibidas en consignación.",Decimal,"15,3",0-999999999999999.999,
K020A,"Materiales e insumos consumidos para la prestación de servicios (millones de pesos): Es el importe de los productos y materiales de cualquier especie, a costo de adquisición, que fueron consumidos por la unidad económica para proporcionar el servicio que constituye su actividad normal. Incluye los materiales consumidos provenientes de otros establecimientos de la misma empresa. Así como los gastos por servicios de transmisión de energía eléctrica, gastos por servicios de distribución, conducción y entrega de gas o productos derivados del petróleo y los gastos del servicio de transporte por ductos proporcionado a terceros.",Decimal,"15,3",0-999999999999999.999,
K030A,"Materias primas y materiales que se integran a la producción (millones de pesos): Es el valor a costo de adquisición en el mercado nacional o extranjero, de las materias primas y auxiliares consumidas en los procesos de producción; el valor de los materiales consumidos en las obras ejecutadas de manera directa; el valor de los insumos consumidos para la extracción de hidrocarburos; el importe de los agentes o componentes químicos que producen detonaciones, el valor de los insumos utilizados para el beneficio y precipitación de minerales y para determinar su naturaleza. Así como el valor de los bienes no duraderos consumidos para las actividades pesca o acuicultura.",Decimal,"15,3",0-999999999999999.999,
K042A,"Consumo de combustibles, lubricantes y energéticos (millones de pesos): Es el importe por consumo en combustibles y lubricantes que realizó la unidad económica para el funcionamiento de la maquinaria, equipo y los vehículos. Excluye gastos por consumo de energía eléctrica.",Decimal,"15,3",0-999999999999999.999,
K412A,"Gasto por consumo de energía eléctrica (millones de pesos): Es el valor a costo de adquisición que la unidad económica gastó por la utilización de la energía eléctrica; en caso de autogeneración, impute el costo a precios de mercado.",Decimal,"15,3",0-999999999999999.999,
K050A,Renta y alquiler de bienes muebles e inmuebles (millones de pesos): Son los gastos por concepto de arrendamiento puro u operativo (arrendamiento no financiero) o alquiler de maquinaria y equipo o bienes inmuebles para el desempeño de las actividades económicas.,Decimal,"15,3",0-999999999999999.999,
K060A,"Contratación de servicios profesionales, científicos y técnicos (millones de pesos): Comprende los gastos por servicios profesionales, científicos y técnicos que recibió de consultores independientes y compañías especializadas en temas contables, legales y de administración, proyectos de ingeniería técnica y de detalle, asesoría comercial, mercadotecnia y servicios relacionados.",Decimal,"15,3",0-999999999999999.999,
K070A,"Maquila y servicios de producción de bienes por contrato (millones de pesos): Son los pagos efectuados por la unidad económica a otra razón social, por servicios industriales de transformación parcial o total de sus materias primas, así como el monto que pagó a terceros por la prestación de servicios especializados en una o varias etapas de la producción; los pagos a subcontratistas por la ejecución de una parte de la obra o de la totalidad de los trabajos u obras de construcción, así como los pagos por los servicios de beneficio de minerales.",Decimal,"15,3",0-999999999999999.999,
K090A,"Consumo de otros bienes y servicios (millones de pesos).
Son los gastos de operación normal de la unidad económica, por los bienes y servicios que consumió y que no fueron considerados de manera específica en los conceptos anteriores, pero están relacionados con la actividad. Incluye: gastos por viáticos, pasajes y primas de seguros de bienes; la contratación de los servicios de vigilancia, intendencia, limpieza, jardinería, entre otros; equipo, uniformes y ropa de trabajo; los costos por selección, capacitación y administración de personal; los pagos a instructores internos y externos; los materiales de capacitación y los pagos a instituciones de educación (becas); actividades deportivas y recreativas; y otro tipo de materiales y servicios no considerados anteriormente. Excluye: los intereses que pagó por créditos o préstamos, los impuestos, las licencias de operación, los gastos de tipo financiero (pérdidas cambiarias, pagos de dividendos, etcétera), las deudas incobrables, las multas, las donaciones, la compra y depreciación de los activos fijos.",Decimal,"15,3",0-999999999999999.999,
K096A,"Fletes de productos vendidos (millones de pesos): Comprende los pagos realizados a terceros por los servicios de transporte de productos vendidos, relacionados únicamente con la manipulación, recepción, entrega o distribución de productos, mercancías y bienes vendidos por la unidad económica, ya sea mediante transporte terrestre local o foráneo, aéreo (nacional o internacional) y marítimo.",Decimal,"15,3",0-999999999999999.999,
K311A,"Gastos por consumo de papelería y artículos de oficina (millones de pesos) : Es el valor a costo de adquisición de libretas, fólderes, elementos de escritura, consumibles de computación y en general todos aquellos materiales que se emplean en oficinas y que fueron consumidos por la unidad económica. Incluye los consumidos provenientes de otros establecimientos de la misma empresa.",Decimal,"15,3",0-999999999999999.999,
K610A,"Pagos a otra razón social que contrató y proporcionó personal (millones de pesos) : Son los pagos que realizó la unidad económica a otra razón social que le suministró personal para el desempeño de las actividades productivas y de apoyo. Excluye los pagos por la contratación de servicios, por ejemplo vigilancia, intendencia, limpieza, jardinería, entre otros.",Decimal,"15,3",0-999999999999999.999,
K620A,Gastos por honorarios o comisiones sin sueldo base (millones de pesos) : Es el importe de los gastos que realizó la unidad económica por estos conceptos al personal que no recibe una remuneración base. Excluye las comisiones pagadas en adición a un salario base.,Decimal,"15,3",0-999999999999999.999,
K810A,"Gastos por publicidad (millones de pesos) : Es el valor de los gastos a costo de adquisición que realizó la unidad económica para la difusión y propaganda de sus bienes, servicios o su imagen pública. Incluye publicidad en radio, televisión, Internet, periódicos y revistas, los pagos a agencias de publicidad, la distribución de volantes y calendarios, plumas y otros artículos publicitarios.",Decimal,"15,3",0-999999999999999.999,
K820A,"Gastos por servicios de comunicación ( millones de pesos) : Es el valor de los gastos a costo de adquisición que realizó la unidad económica por el uso de diversos servicios de telecomunicaciones, como teléfono, fax, Internet y satélite; así como por los servicios de mensajería y correo. Incluye los servicios de acceso a la información en línea.",Decimal,"15,3",0-999999999999999.999,
K910A,"Gastos por cosumo de envases y empaques (millones de pesos) : Es el valor a costo de adquisición de los artículos y materiales de cualquier naturaleza usados para contener, mejorar la presentación y proteger los productos del maltrato, descomposición, daño o merma. Incluye los materiales para producir o armar los envases y empaques, y los consumidos provenientes de otros establecimientos de la misma empresa. Excluye los enviados a otros establecimientos de la misma empresa.",Decimal,"15,3",0-999999999999999.999,
